productCode,productName,customerName,orderDate,orderLineNumber,total_price
S12_1108,"2001 Ferrari Enzo","Euro+ Shopping Channel",2003-09-28,1,2620.41
S12_1108,"2001 Ferrari Enzo","Euro+ Shopping Channel",2003-09-28,2,2620.41
S12_1108,"2001 Ferrari Enzo","Euro+ Shopping Channel",2003-09-28,3,2620.41
S12_1108,"2001 Ferrari Enzo","Euro+ Shopping Channel",2003-09-28,4,2620.41
S12_1108,"2001 Ferrari Enzo","Euro+ Shopping Channel",2003-09-28,5,2620.41
S12_1108,"2001 Ferrari Enzo","Euro+ Shopping Channel",2003-09-28,6,2620.41
S12_1108,"2001 Ferrari Enzo","Euro+ Shopping Channel",2003-09-28,7,2620.41
S12_1108,"2001 Ferrari Enzo","Euro+ Shopping Channel",2003-09-28,8,2620.41
S12_1108,"2001 Ferrari Enzo","Euro+ Shopping Channel",2003-09-28,9,2620.41
S12_1108,"2001 Ferrari Enzo","Euro+ Shopping Channel",2003-09-28,10,2620.41
S12_1108,"2001 Ferrari Enzo","Euro+ Shopping Channel",2003-09-28,11,2620.41
S12_1108,"2001 Ferrari Enzo","Euro+ Shopping Channel",2003-09-28,12,2620.41
S12_1108,"2001 Ferrari Enzo","Euro+ Shopping Channel",2003-09-28,13,2620.41
S10_1949,"1952 Alpine Renault 1300","Euro+ Shopping Channel",2005-05-31,1,2618.72
S10_1949,"1952 Alpine Renault 1300","Euro+ Shopping Channel",2005-05-31,2,2618.72
S10_1949,"1952 Alpine Renault 1300","Euro+ Shopping Channel",2005-05-31,3,2618.72
S10_1949,"1952 Alpine Renault 1300","Euro+ Shopping Channel",2005-05-31,4,2618.72
S10_1949,"1952 Alpine Renault 1300","Euro+ Shopping Channel",2005-05-31,5,2618.72
S10_1949,"1952 Alpine Renault 1300","Euro+ Shopping Channel",2005-05-31,6,2618.72
S18_3232,"1992 Ferrari 360 Spider red","Euro+ Shopping Channel",2003-01-31,1,2157.35
S18_3232,"1992 Ferrari 360 Spider red","Euro+ Shopping Channel",2003-01-31,2,2157.35
S18_3232,"1992 Ferrari 360 Spider red","Euro+ Shopping Channel",2003-01-31,3,2157.35
S18_3232,"1992 Ferrari 360 Spider red","Euro+ Shopping Channel",2003-01-31,4,2157.35
S18_3232,"1992 Ferrari 360 Spider red","Euro+ Shopping Channel",2003-01-31,5,2157.35
S18_3232,"1992 Ferrari 360 Spider red","Euro+ Shopping Channel",2003-01-31,6,2157.35
S18_3232,"1992 Ferrari 360 Spider red","Euro+ Shopping Channel",2003-01-31,7,2157.35
S18_3232,"1992 Ferrari 360 Spider red","Euro+ Shopping Channel",2003-01-31,8,2157.35
S18_3232,"1992 Ferrari 360 Spider red","Euro+ Shopping Channel",2003-01-31,9,2157.35
S18_3232,"1992 Ferrari 360 Spider red","Euro+ Shopping Channel",2003-01-31,10,2157.35
S18_3232,"1992 Ferrari 360 Spider red","Euro+ Shopping Channel",2003-01-31,11,2157.35
S18_3232,"1992 Ferrari 360 Spider red","Euro+ Shopping Channel",2003-01-31,12,2157.35
S18_3232,"1992 Ferrari 360 Spider red","Euro+ Shopping Channel",2003-01-31,13,2157.35
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Euro+ Shopping Channel",2005-05-13,1,2114.71
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Euro+ Shopping Channel",2005-05-13,2,2114.71
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Euro+ Shopping Channel",2005-05-13,3,2114.71
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Euro+ Shopping Channel",2005-05-13,4,2114.71
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Euro+ Shopping Channel",2005-05-13,5,2114.71
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Euro+ Shopping Channel",2005-05-13,6,2114.71
S12_1099,"1968 Ford Mustang","Euro+ Shopping Channel",2003-12-02,1,2099.37
S12_1099,"1968 Ford Mustang","Euro+ Shopping Channel",2003-12-02,2,2099.37
